-- מחיקת כל התורים הקיימים
DELETE FROM [dbo].[Appointments];

-- איפוס המפתח הרץ
DBCC CHECKIDENT ('[dbo].[Appointments]', RESEED, 0);

-- הוספת תורים חדשים עם הפרשים של 15 דקות
-- רופא 1 עובד ב-21 תאריכים
INSERT INTO [dbo].[Appointments] (Date, Hour, DoctorId, ClientId) VALUES
('2025-05-01 09:00', 9, 11111111, NULL),
('2025-05-01 09:15', 9, 11111111, NULL),
('2025-05-01 09:30', 9, 11111111, NULL),
('2025-05-01 09:45', 9, 11111111, NULL),
('2025-05-02 09:00', 9, 11111111, NULL),
('2025-05-02 09:15', 9, 11111111, NULL),
('2025-05-02 09:30', 9, 11111111, NULL),
('2025-05-02 09:45', 9, 11111111, NULL),
('2025-05-03 09:00', 9, 11111111, NULL),
('2025-05-03 09:15', 9, 11111111, NULL),
('2025-05-03 09:30', 9, 11111111, NULL),
('2025-05-03 09:45', 9, 11111111, NULL),
('2025-05-04 09:00', 9, 11111111, NULL),
('2025-05-04 09:15', 9, 11111111, NULL),
('2025-05-04 09:30', 9, 11111111, NULL),
('2025-05-04 09:45', 9, 11111111, NULL),
('2025-05-05 09:00', 9, 11111111, NULL),
('2025-05-05 09:15', 9, 11111111, NULL),
('2025-05-05 09:30', 9, 11111111, NULL),
('2025-05-05 09:45', 9, 11111111, NULL),
('2025-05-06 09:00', 9, 11111111, NULL),
('2025-05-06 09:15', 9, 11111111, NULL);

-- רופא 2 עובד ב-21 תאריכים
INSERT INTO [dbo].[Appointments] (Date, Hour, DoctorId, ClientId) VALUES
('2025-05-07 10:00', 10, 22222222, NULL),
('2025-05-07 10:15', 10, 22222222, NULL),
('2025-05-07 10:30', 10, 22222222, NULL),
('2025-05-07 10:45', 10, 22222222, NULL),
('2025-05-08 10:00', 10, 22222222, NULL),
('2025-05-08 10:15', 10, 22222222, NULL),
('2025-05-08 10:30', 10, 22222222, NULL),
('2025-05-08 10:45', 10, 22222222, NULL),
('2025-05-09 10:00', 10, 22222222, NULL),
('2025-05-09 10:15', 10, 22222222, NULL),
('2025-05-09 10:30', 10, 22222222, NULL),
('2025-05-09 10:45', 10, 22222222, NULL),
('2025-05-10 10:00', 10, 22222222, NULL),
('2025-05-10 10:15', 10, 22222222, NULL),
('2025-05-10 10:30', 10, 22222222, NULL),
('2025-05-10 10:45', 10, 22222222, NULL),
('2025-05-11 10:00', 10, 22222222, NULL),
('2025-05-11 10:15', 10, 22222222, NULL),
